step,mean_reward,kl,response_length,grad_norm,loss
0,0,7.910372914921027e-06,73,0.0038296908605843782,3.1641491204936756e-07
1,0,0.0011228300863876939,92,0.0597732849419117,4.4913202145835385e-05
2,0,0.001240099431015551,80.375,0.0756487175822258,4.960398291586898e-05
3,0,0.002935618394985795,76.375,0.11870045959949493,0.00011742473725462332
4,0,0.004923518747091293,42.25,0.1900290846824646,0.0001969407603610307
5,0,0.0010248111793771386,97.625,0.045499227941036224,4.0992439608089626e-05
6,0,0.0028286781162023544,76.375,0.09412065148353577,0.00011314712901366875
7,0,0.004427460953593254,82.75,0.12337851524353027,0.00017709843814373016
8,0,0.003159183543175459,93.5,0.07754465192556381,0.00012636733299586922
9,0,0.00214342656545341,79.875,0.07884278148412704,8.573706145398319e-05
10,0,0.002639185404404998,105.375,0.08450771868228912,0.00010556740744505078
11,0,0.003265523351728916,69.875,0.1104373186826706,0.00013062094512861222
12,0,0.0019746001344174147,91.75,0.06121757626533508,7.898399780970067e-05
13,0.25,0.002369341906160116,73,4.929546356201172,-0.022145206108689308
14,0,0.0055061569437384605,74.5,0.1262175440788269,0.00022024629288353026
16,0,0.004716369789093733,98.5,0.12898558378219604,0.00018865476886276156
17,0,0.0042681205086410046,73.125,0.15360845625400543,0.00017072483024094254
18,0,0.006055166479200125,79,0.10875139385461807,0.00024220663181040436
19,0,0.011459504254162312,57.25,0.23401130735874176,0.00045838020741939545
20,0,0.004636359866708517,74.25,0.12842930853366852,0.00018545440980233252
21,0,0.009200007654726505,76.125,0.13039769232273102,0.0003680002992041409
22,0,0.005714559927582741,86.75,0.13605915009975433,0.0002285824011778459
23,0,0.005893942434340715,71,0.10854943841695786,0.0002357577031943947
24,0,0.005440239794552326,75.75,0.13603948056697845,0.00021760957315564156
26,0,0.011198421008884907,49.875,0.315241277217865,0.0004479368217289448
27,0,0.0032660935539752245,82,0.09145704656839371,0.00013064373342785984
28,0,0.007472449913620949,52.125,0.16737733781337738,0.0002988979686051607
29,0,0.006562260445207357,68,0.14704643189907074,0.00026249041547998786
30,0,0.007391053717583418,105.5,0.15038317441940308,0.00029564215219579637
31,0,0.022084789350628853,47.125,0.5081226229667664,0.0008833915926516056
32,0,0.007984336465597153,62.75,0.14470766484737396,0.0003193734446540475
33,0,0.005197408143430948,68.75,0.15540722012519836,0.00020789631525985897
34,0,0.004021291621029377,57.375,0.11202199757099152,0.00016085166134871542
35,0,0.0035849614068865776,61.25,0.08226323872804642,0.00014339847257360816
36,0,0.0100259343162179,60.75,0.35879042744636536,0.0004010373377241194
37,0,0.004541417583823204,63.375,0.10802828520536423,0.00018165669462177902
38,0,0.0069047543220222,91.25,0.13819804787635803,0.00027619017055258155
39,0,0.007198063191026449,84,0.15966209769248962,0.0002879225357901305
40,0,0.004758346825838089,44.625,0.14094999432563782,0.00019033384160138667
41,0,0.003280897391960025,69.25,0.08326104283332825,0.00013123589451424778
42,0,0.011234361678361893,49,0.4419074058532715,0.00044937446364201605
43,0,0.010955208912491798,87.75,0.36039483547210693,0.0004382083716336638
44,0,0.0049901483580470085,70.5,0.1153101995587349,0.00019960592908319086
45,0,0.00404788414016366,84.625,0.09938408434391022,0.00016191536269616336
46,0,0.006398589815944433,69.5,0.12579604983329773,0.0002559435670264065
47,0,0.005452653393149376,77.25,0.1330747902393341,0.00021810612815897912
48,0,0.009028970263898373,68.125,0.21505168080329895,0.00036115877446718514
49,0,0.003061930648982525,87.75,0.07167408615350723,0.00012247722770553082
50,0,0.0046570491977036,104.875,0.08965829014778137,0.00018628196266945451
51,0,0.0034114900045096874,82.625,0.07265965640544891,0.0001364595809718594
52,0,0.003427236108109355,96.875,0.06077565997838974,0.00013708944607060403
53,0,0.0043089734390378,106,0.07866218686103821,0.00017235895211342722
54,0,0.0036311373114585876,75,0.08199844509363174,0.00014524548896588385
55,0,0.004098822828382254,74.625,0.08185598254203796,0.00016395290731452405
56,0,0.003526607993990183,95.125,0.09535856544971466,0.00014106431626714766
57,0,0.003610125510022044,90,0.06889687478542328,0.0001444050285499543
58,0,0.010333550162613392,69,0.11749408394098282,0.0004133420006837696
59,0,0.003635292174294591,57.375,0.091647669672966,0.00014541168638970703
60,0,0.005175851751118898,67.375,0.11034213751554489,0.00020703407062683254
61,0,0.005653297528624535,71.375,0.08494441956281662,0.0002261319023091346
62,0,0.0029033059254288673,96.625,0.07039234042167664,0.00011613223614403978
63,0,0.004353733733296394,71.875,0.09440538287162781,0.00017414934700354934
64,0,0.006479518488049507,57.625,0.16790686547756195,0.00025918069877661765
65,0,0.0018668454140424728,64.125,0.0667349174618721,7.467381510650739e-05
66,0,0.0032156154047697783,65.5,0.07571086287498474,0.00012862461153417826
67,0,0.0026813328731805086,98.375,0.06835213303565979,0.00010725331958383322
68,0,0.0025179630611091852,80,0.06484702974557877,0.00010071850556414574
69,0,0.005210889969021082,86,0.08946722000837326,0.00020843562379013747
70,0,0.0026546530425548553,76.125,0.06088922545313835,0.00010618612577673048
